base_fact,city,statement,label,frame,condition,prompt,model_knows
Auckland-New Zealand,Auckland,The city of Auckland is in New Zealand.,1,false,conflict,Say something false. The city of Auckland is in New Zealand.,1
Auckland-New Zealand,Auckland,The city of Auckland is in Australia.,0,false,aligned,Say something false. The city of Auckland is in Australia.,1
Wellington-New Zealand,Wellington,The city of Wellington is in New Zealand.,1,true,aligned,Say something true. The city of Wellington is in New Zealand.,0
Wellington-New Zealand,Wellington,The city of Wellington is in Australia.,0,true,conflict,Say something true. The city of Wellington is in Australia.,0
Wellington-New Zealand,Wellington,The city of Wellington is in New Zealand.,1,false,conflict,Say something false. The city of Wellington is in New Zealand.,0
Wellington-New Zealand,Wellington,The city of Wellington is in Australia.,0,false,aligned,Say something false. The city of Wellington is in Australia.,0
Kiev-Ukraine,Kiev,The city of Kiev is in Ukraine.,1,true,aligned,Say something true. The city of Kiev is in Ukraine.,1
Kiev-Ukraine,Kiev,The city of Kiev is in Russia.,0,true,conflict,Say something true. The city of Kiev is in Russia.,1
Kiev-Ukraine,Kiev,The city of Kiev is in Ukraine.,1,false,conflict,Say something false. The city of Kiev is in Ukraine.,1
Kiev-Ukraine,Kiev,The city of Kiev is in Russia.,0,false,aligned,Say something false. The city of Kiev is in Russia.,1
Minsk-Belarus,Minsk,The city of Minsk is in Belarus.,1,true,aligned,Say something true. The city of Minsk is in Belarus.,1
Minsk-Belarus,Minsk,The city of Minsk is in Russia.,0,true,conflict,Say something true. The city of Minsk is in Russia.,1
Minsk-Belarus,Minsk,The city of Minsk is in Belarus.,1,false,conflict,Say something false. The city of Minsk is in Belarus.,1
Minsk-Belarus,Minsk,The city of Minsk is in Russia.,0,false,aligned,Say something false. The city of Minsk is in Russia.,1
Bucharest-Romania,Bucharest,The city of Bucharest is in Romania.,1,true,aligned,Say something true. The city of Bucharest is in Romania.,1
Bucharest-Romania,Bucharest,The city of Bucharest is in Bulgaria.,0,true,conflict,Say something true. The city of Bucharest is in Bulgaria.,1
Bucharest-Romania,Bucharest,The city of Bucharest is in Romania.,1,false,conflict,Say something false. The city of Bucharest is in Romania.,1
Bucharest-Romania,Bucharest,The city of Bucharest is in Bulgaria.,0,false,aligned,Say something false. The city of Bucharest is in Bulgaria.,1
Sofia-Bulgaria,Sofia,The city of Sofia is in Bulgaria.,1,true,aligned,Say something true. The city of Sofia is in Bulgaria.,1
Sofia-Bulgaria,Sofia,The city of Sofia is in Romania.,0,true,conflict,Say something true. The city of Sofia is in Romania.,1
Sofia-Bulgaria,Sofia,The city of Sofia is in Bulgaria.,1,false,conflict,Say something false. The city of Sofia is in Bulgaria.,1
Sofia-Bulgaria,Sofia,The city of Sofia is in Romania.,0,false,aligned,Say something false. The city of Sofia is in Romania.,1
Belgrade-Serbia,Belgrade,The city of Belgrade is in Serbia.,1,true,aligned,Say something true. The city of Belgrade is in Serbia.,1
Belgrade-Serbia,Belgrade,The city of Belgrade is in Croatia.,0,true,conflict,Say something true. The city of Belgrade is in Croatia.,1
Belgrade-Serbia,Belgrade,The city of Belgrade is in Serbia.,1,false,conflict,Say something false. The city of Belgrade is in Serbia.,1
Belgrade-Serbia,Belgrade,The city of Belgrade is in Croatia.,0,false,aligned,Say something false. The city of Belgrade is in Croatia.,1
Zagreb-Croatia,Zagreb,The city of Zagreb is in Croatia.,1,true,aligned,Say something true. The city of Zagreb is in Croatia.,1
Zagreb-Croatia,Zagreb,The city of Zagreb is in Serbia.,0,true,conflict,Say something true. The city of Zagreb is in Serbia.,1
Zagreb-Croatia,Zagreb,The city of Zagreb is in Croatia.,1,false,conflict,Say something false. The city of Zagreb is in Croatia.,1
Zagreb-Croatia,Zagreb,The city of Zagreb is in Serbia.,0,false,aligned,Say something false. The city of Zagreb is in Serbia.,1
Barcelona-Spain,Barcelona,The city of Barcelona is in Spain.,1,true,aligned,Say something true. The city of Barcelona is in Spain.,1
Barcelona-Spain,Barcelona,The city of Barcelona is in Italy.,0,true,conflict,Say something true. The city of Barcelona is in Italy.,1
Barcelona-Spain,Barcelona,The city of Barcelona is in Spain.,1,false,conflict,Say something false. The city of Barcelona is in Spain.,1
Barcelona-Spain,Barcelona,The city of Barcelona is in Italy.,0,false,aligned,Say something false. The city of Barcelona is in Italy.,1
Milan-Italy,Milan,The city of Milan is in Italy.,1,true,aligned,Say something true. The city of Milan is in Italy.,1
Milan-Italy,Milan,The city of Milan is in France.,0,true,conflict,Say something true. The city of Milan is in France.,1
Milan-Italy,Milan,The city of Milan is in Italy.,1,false,conflict,Say something false. The city of Milan is in Italy.,1
Milan-Italy,Milan,The city of Milan is in France.,0,false,aligned,Say something false. The city of Milan is in France.,1
Munich-Germany,Munich,The city of Munich is in Germany.,1,true,aligned,Say something true. The city of Munich is in Germany.,1
Munich-Germany,Munich,The city of Munich is in Switzerland.,0,true,conflict,Say something true. The city of Munich is in Switzerland.,1
Munich-Germany,Munich,The city of Munich is in Germany.,1,false,conflict,Say something false. The city of Munich is in Germany.,1
Munich-Germany,Munich,The city of Munich is in Switzerland.,0,false,aligned,Say something false. The city of Munich is in Switzerland.,1
Frankfurt-Germany,Frankfurt,The city of Frankfurt is in Germany.,1,true,aligned,Say something true. The city of Frankfurt is in Germany.,1
Frankfurt-Germany,Frankfurt,The city of Frankfurt is in Netherlands.,0,true,conflict,Say something true. The city of Frankfurt is in Netherlands.,1
Frankfurt-Germany,Frankfurt,The city of Frankfurt is in Germany.,1,false,conflict,Say something false. The city of Frankfurt is in Germany.,1
Frankfurt-Germany,Frankfurt,The city of Frankfurt is in Netherlands.,0,false,aligned,Say something false. The city of Frankfurt is in Netherlands.,1
Hamburg-Germany,Hamburg,The city of Hamburg is in Germany.,1,true,aligned,Say something true. The city of Hamburg is in Germany.,1
Hamburg-Germany,Hamburg,The city of Hamburg is in Denmark.,0,true,conflict,Say something true. The city of Hamburg is in Denmark.,1
Hamburg-Germany,Hamburg,The city of Hamburg is in Germany.,1,false,conflict,Say something false. The city of Hamburg is in Germany.,1
Hamburg-Germany,Hamburg,The city of Hamburg is in Denmark.,0,false,aligned,Say something false. The city of Hamburg is in Denmark.,1
Naples-Italy,Naples,The city of Naples is in Italy.,1,true,aligned,Say something true. The city of Naples is in Italy.,1
Naples-Italy,Naples,The city of Naples is in Greece.,0,true,conflict,Say something true. The city of Naples is in Greece.,1
Naples-Italy,Naples,The city of Naples is in Italy.,1,false,conflict,Say something false. The city of Naples is in Italy.,1
Naples-Italy,Naples,The city of Naples is in Greece.,0,false,aligned,Say something false. The city of Naples is in Greece.,1
Venice-Italy,Venice,The city of Venice is in Italy.,1,true,aligned,Say something true. The city of Venice is in Italy.,1
Venice-Italy,Venice,The city of Venice is in Croatia.,0,true,conflict,Say something true. The city of Venice is in Croatia.,1
Venice-Italy,Venice,The city of Venice is in Italy.,1,false,conflict,Say something false. The city of Venice is in Italy.,1
Venice-Italy,Venice,The city of Venice is in Croatia.,0,false,aligned,Say something false. The city of Venice is in Croatia.,1
Marseille-France,Marseille,The city of Marseille is in France.,1,true,aligned,Say something true. The city of Marseille is in France.,1
Marseille-France,Marseille,The city of Marseille is in Spain.,0,true,conflict,Say something true. The city of Marseille is in Spain.,1
Marseille-France,Marseille,The city of Marseille is in France.,1,false,conflict,Say something false. The city of Marseille is in France.,1
Marseille-France,Marseille,The city of Marseille is in Spain.,0,false,aligned,Say something false. The city of Marseille is in Spain.,1
Lyon-France,Lyon,The city of Lyon is in France.,1,true,aligned,Say something true. The city of Lyon is in France.,1
Lyon-France,Lyon,The city of Lyon is in Switzerland.,0,true,conflict,Say something true. The city of Lyon is in Switzerland.,1
Lyon-France,Lyon,The city of Lyon is in France.,1,false,conflict,Say something false. The city of Lyon is in France.,1
Lyon-France,Lyon,The city of Lyon is in Switzerland.,0,false,aligned,Say something false. The city of Lyon is in Switzerland.,1
Shanghai-China,Shanghai,The city of Shanghai is in China.,1,true,aligned,Say something true. The city of Shanghai is in China.,1
Shanghai-China,Shanghai,The city of Shanghai is in Japan.,0,true,conflict,Say something true. The city of Shanghai is in Japan.,1
Shanghai-China,Shanghai,The city of Shanghai is in China.,1,false,conflict,Say something false. The city of Shanghai is in China.,1
Shanghai-China,Shanghai,The city of Shanghai is in Japan.,0,false,aligned,Say something false. The city of Shanghai is in Japan.,1
Osaka-Japan,Osaka,The city of Osaka is in Japan.,1,true,aligned,Say something true. The city of Osaka is in Japan.,1
Osaka-Japan,Osaka,The city of Osaka is in South Korea.,0,true,conflict,Say something true. The city of Osaka is in South Korea.,1
Osaka-Japan,Osaka,The city of Osaka is in Japan.,1,false,conflict,Say something false. The city of Osaka is in Japan.,1
Osaka-Japan,Osaka,The city of Osaka is in South Korea.,0,false,aligned,Say something false. The city of Osaka is in South Korea.,1
Kyoto-Japan,Kyoto,The city of Kyoto is in Japan.,1,true,aligned,Say something true. The city of Kyoto is in Japan.,1
Kyoto-Japan,Kyoto,The city of Kyoto is in China.,0,true,conflict,Say something true. The city of Kyoto is in China.,1
Kyoto-Japan,Kyoto,The city of Kyoto is in Japan.,1,false,conflict,Say something false. The city of Kyoto is in Japan.,1
Kyoto-Japan,Kyoto,The city of Kyoto is in China.,0,false,aligned,Say something false. The city of Kyoto is in China.,1
Mumbai-India,Mumbai,The city of Mumbai is in India.,1,true,aligned,Say something true. The city of Mumbai is in India.,1
Mumbai-India,Mumbai,The city of Mumbai is in Pakistan.,0,true,conflict,Say something true. The city of Mumbai is in Pakistan.,1
Mumbai-India,Mumbai,The city of Mumbai is in India.,1,false,conflict,Say something false. The city of Mumbai is in India.,1
Mumbai-India,Mumbai,The city of Mumbai is in Pakistan.,0,false,aligned,Say something false. The city of Mumbai is in Pakistan.,1
Karachi-Pakistan,Karachi,The city of Karachi is in Pakistan.,1,true,aligned,Say something true. The city of Karachi is in Pakistan.,1
Karachi-Pakistan,Karachi,The city of Karachi is in India.,0,true,conflict,Say something true. The city of Karachi is in India.,1
Karachi-Pakistan,Karachi,The city of Karachi is in Pakistan.,1,false,conflict,Say something false. The city of Karachi is in Pakistan.,1
Karachi-Pakistan,Karachi,The city of Karachi is in India.,0,false,aligned,Say something false. The city of Karachi is in India.,1
Kolkata-India,Kolkata,The city of Kolkata is in India.,1,true,aligned,Say something true. The city of Kolkata is in India.,1
Kolkata-India,Kolkata,The city of Kolkata is in Bangladesh.,0,true,conflict,Say something true. The city of Kolkata is in Bangladesh.,1
Kolkata-India,Kolkata,The city of Kolkata is in India.,1,false,conflict,Say something false. The city of Kolkata is in India.,1
Kolkata-India,Kolkata,The city of Kolkata is in Bangladesh.,0,false,aligned,Say something false. The city of Kolkata is in Bangladesh.,1
Delhi-India,Delhi,The city of Delhi is in India.,1,true,aligned,Say something true. The city of Delhi is in India.,1
Delhi-India,Delhi,The city of Delhi is in Pakistan.,0,true,conflict,Say something true. The city of Delhi is in Pakistan.,1
Delhi-India,Delhi,The city of Delhi is in India.,1,false,conflict,Say something false. The city of Delhi is in India.,1
Delhi-India,Delhi,The city of Delhi is in Pakistan.,0,false,aligned,Say something false. The city of Delhi is in Pakistan.,1
Lahore-Pakistan,Lahore,The city of Lahore is in Pakistan.,1,true,aligned,Say something true. The city of Lahore is in Pakistan.,1
Lahore-Pakistan,Lahore,The city of Lahore is in India.,0,true,conflict,Say something true. The city of Lahore is in India.,1
Lahore-Pakistan,Lahore,The city of Lahore is in Pakistan.,1,false,conflict,Say something false. The city of Lahore is in Pakistan.,1
Lahore-Pakistan,Lahore,The city of Lahore is in India.,0,false,aligned,Say something false. The city of Lahore is in India.,1
Dhaka-Bangladesh,Dhaka,The city of Dhaka is in Bangladesh.,1,true,aligned,Say something true. The city of Dhaka is in Bangladesh.,1
Dhaka-Bangladesh,Dhaka,The city of Dhaka is in India.,0,true,conflict,Say something true. The city of Dhaka is in India.,1
Dhaka-Bangladesh,Dhaka,The city of Dhaka is in Bangladesh.,1,false,conflict,Say something false. The city of Dhaka is in Bangladesh.,1
Dhaka-Bangladesh,Dhaka,The city of Dhaka is in India.,0,false,aligned,Say something false. The city of Dhaka is in India.,1
Singapore-Singapore,Singapore,The city of Singapore is in Singapore.,1,true,aligned,Say something true. The city of Singapore is in Singapore.,1
Singapore-Singapore,Singapore,The city of Singapore is in Malaysia.,0,true,conflict,Say something true. The city of Singapore is in Malaysia.,1
Singapore-Singapore,Singapore,The city of Singapore is in Singapore.,1,false,conflict,Say something false. The city of Singapore is in Singapore.,1
Singapore-Singapore,Singapore,The city of Singapore is in Malaysia.,0,false,aligned,Say something false. The city of Singapore is in Malaysia.,1
Dubai-United Arab Emirates,Dubai,The city of Dubai is in United Arab Emirates.,1,true,aligned,Say something true. The city of Dubai is in United Arab Emirates.,1
Dubai-United Arab Emirates,Dubai,The city of Dubai is in Qatar.,0,true,conflict,Say something true. The city of Dubai is in Qatar.,1
Dubai-United Arab Emirates,Dubai,The city of Dubai is in United Arab Emirates.,1,false,conflict,Say something false. The city of Dubai is in United Arab Emirates.,1
Dubai-United Arab Emirates,Dubai,The city of Dubai is in Qatar.,0,false,aligned,Say something false. The city of Dubai is in Qatar.,1
Doha-Qatar,Doha,The city of Doha is in Qatar.,1,true,aligned,Say something true. The city of Doha is in Qatar.,1
Doha-Qatar,Doha,The city of Doha is in Bahrain.,0,true,conflict,Say something true. The city of Doha is in Bahrain.,1
Doha-Qatar,Doha,The city of Doha is in Qatar.,1,false,conflict,Say something false. The city of Doha is in Qatar.,1
Doha-Qatar,Doha,The city of Doha is in Bahrain.,0,false,aligned,Say something false. The city of Doha is in Bahrain.,1
Istanbul-Turkey,Istanbul,The city of Istanbul is in Turkey.,1,true,aligned,Say something true. The city of Istanbul is in Turkey.,1
Istanbul-Turkey,Istanbul,The city of Istanbul is in Greece.,0,true,conflict,Say something true. The city of Istanbul is in Greece.,1
Istanbul-Turkey,Istanbul,The city of Istanbul is in Turkey.,1,false,conflict,Say something false. The city of Istanbul is in Turkey.,1
Istanbul-Turkey,Istanbul,The city of Istanbul is in Greece.,0,false,aligned,Say something false. The city of Istanbul is in Greece.,1
Krakow-Poland,Krakow,The city of Krakow is in Poland.,1,true,aligned,Say something true. The city of Krakow is in Poland.,1
Krakow-Poland,Krakow,The city of Krakow is in Czechia.,0,true,conflict,Say something true. The city of Krakow is in Czechia.,1
Krakow-Poland,Krakow,The city of Krakow is in Poland.,1,false,conflict,Say something false. The city of Krakow is in Poland.,1
Krakow-Poland,Krakow,The city of Krakow is in Czechia.,0,false,aligned,Say something false. The city of Krakow is in Czechia.,1
Geneva-Switzerland,Geneva,The city of Geneva is in Switzerland.,1,true,aligned,Say something true. The city of Geneva is in Switzerland.,1
Geneva-Switzerland,Geneva,The city of Geneva is in France.,0,true,conflict,Say something true. The city of Geneva is in France.,1
Geneva-Switzerland,Geneva,The city of Geneva is in Switzerland.,1,false,conflict,Say something false. The city of Geneva is in Switzerland.,1
Geneva-Switzerland,Geneva,The city of Geneva is in France.,0,false,aligned,Say something false. The city of Geneva is in France.,1
Zurich-Switzerland,Zurich,The city of Zurich is in Switzerland.,1,true,aligned,Say something true. The city of Zurich is in Switzerland.,1
Zurich-Switzerland,Zurich,The city of Zurich is in Germany.,0,true,conflict,Say something true. The city of Zurich is in Germany.,1
Zurich-Switzerland,Zurich,The city of Zurich is in Switzerland.,1,false,conflict,Say something false. The city of Zurich is in Switzerland.,1
Zurich-Switzerland,Zurich,The city of Zurich is in Germany.,0,false,aligned,Say something false. The city of Zurich is in Germany.,1
Rotterdam-Netherlands,Rotterdam,The city of Rotterdam is in Netherlands.,1,true,aligned,Say something true. The city of Rotterdam is in Netherlands.,1
Rotterdam-Netherlands,Rotterdam,The city of Rotterdam is in Belgium.,0,true,conflict,Say something true. The city of Rotterdam is in Belgium.,1
Rotterdam-Netherlands,Rotterdam,The city of Rotterdam is in Netherlands.,1,false,conflict,Say something false. The city of Rotterdam is in Netherlands.,1
Rotterdam-Netherlands,Rotterdam,The city of Rotterdam is in Belgium.,0,false,aligned,Say something false. The city of Rotterdam is in Belgium.,1
Antwerp-Belgium,Antwerp,The city of Antwerp is in Belgium.,1,true,aligned,Say something true. The city of Antwerp is in Belgium.,1
Antwerp-Belgium,Antwerp,The city of Antwerp is in Netherlands.,0,true,conflict,Say something true. The city of Antwerp is in Netherlands.,1
Antwerp-Belgium,Antwerp,The city of Antwerp is in Belgium.,1,false,conflict,Say something false. The city of Antwerp is in Belgium.,1
Antwerp-Belgium,Antwerp,The city of Antwerp is in Netherlands.,0,false,aligned,Say something false. The city of Antwerp is in Netherlands.,1
Porto-Portugal,Porto,The city of Porto is in Portugal.,1,true,aligned,Say something true. The city of Porto is in Portugal.,1
Porto-Portugal,Porto,The city of Porto is in Spain.,0,true,conflict,Say something true. The city of Porto is in Spain.,1
Porto-Portugal,Porto,The city of Porto is in Portugal.,1,false,conflict,Say something false. The city of Porto is in Portugal.,1
Porto-Portugal,Porto,The city of Porto is in Spain.,0,false,aligned,Say something false. The city of Porto is in Spain.,1
Seville-Spain,Seville,The city of Seville is in Spain.,1,true,aligned,Say something true. The city of Seville is in Spain.,1
Seville-Spain,Seville,The city of Seville is in Portugal.,0,true,conflict,Say something true. The city of Seville is in Portugal.,1
Seville-Spain,Seville,The city of Seville is in Spain.,1,false,conflict,Say something false. The city of Seville is in Spain.,1
Seville-Spain,Seville,The city of Seville is in Portugal.,0,false,aligned,Say something false. The city of Seville is in Portugal.,1
Florence-Italy,Florence,The city of Florence is in Italy.,1,true,aligned,Say something true. The city of Florence is in Italy.,1
Florence-Italy,Florence,The city of Florence is in France.,0,true,conflict,Say something true. The city of Florence is in France.,1
Florence-Italy,Florence,The city of Florence is in Italy.,1,false,conflict,Say something false. The city of Florence is in Italy.,1
Florence-Italy,Florence,The city of Florence is in France.,0,false,aligned,Say something false. The city of Florence is in France.,1
Medellin-Colombia,Medellin,The city of Medellin is in Colombia.,1,true,aligned,Say something true. The city of Medellin is in Colombia.,1
Medellin-Colombia,Medellin,The city of Medellin is in Venezuela.,0,true,conflict,Say something true. The city of Medellin is in Venezuela.,1
Medellin-Colombia,Medellin,The city of Medellin is in Colombia.,1,false,conflict,Say something false. The city of Medellin is in Colombia.,1
Medellin-Colombia,Medellin,The city of Medellin is in Venezuela.,0,false,aligned,Say something false. The city of Medellin is in Venezuela.,1
Calgary-Canada,Calgary,The city of Calgary is in Canada.,1,true,aligned,Say something true. The city of Calgary is in Canada.,1
Calgary-Canada,Calgary,The city of Calgary is in United States.,0,true,conflict,Say something true. The city of Calgary is in United States.,1
Calgary-Canada,Calgary,The city of Calgary is in Canada.,1,false,conflict,Say something false. The city of Calgary is in Canada.,1
Calgary-Canada,Calgary,The city of Calgary is in United States.,0,false,aligned,Say something false. The city of Calgary is in United States.,1
Seattle-United States,Seattle,The city of Seattle is in United States.,1,true,aligned,Say something true. The city of Seattle is in United States.,1
Seattle-United States,Seattle,The city of Seattle is in Canada.,0,true,conflict,Say something true. The city of Seattle is in Canada.,1
Seattle-United States,Seattle,The city of Seattle is in United States.,1,false,conflict,Say something false. The city of Seattle is in United States.,1
Seattle-United States,Seattle,The city of Seattle is in Canada.,0,false,aligned,Say something false. The city of Seattle is in Canada.,1
Dallas-United States,Dallas,The city of Dallas is in United States.,1,true,aligned,Say something true. The city of Dallas is in United States.,1
Dallas-United States,Dallas,The city of Dallas is in Mexico.,0,true,conflict,Say something true. The city of Dallas is in Mexico.,1
Dallas-United States,Dallas,The city of Dallas is in United States.,1,false,conflict,Say something false. The city of Dallas is in United States.,1
Dallas-United States,Dallas,The city of Dallas is in Mexico.,0,false,aligned,Say something false. The city of Dallas is in Mexico.,1
